Sudut Femur Kanan,Sudut Femur Kiri,Sudut Pelvic
6.8,5.8,91.6
6.2,5.3,92.6
5.5,2.4,90.5
5.9,6.2,98.7
6.2,5.9,96.7
9.6,6.3,98.4
6.6,7.5,104.8
5.1,7.1,96.8
7.1,7.6,112.3
4.4,7.4,107
4.9,5.9,104.6
6.4,7.8,106.8
7.3,9.8,95.1
4.9,7.9,101.4
4.8,7.7,111.2
9.6,9.1,105.9
8.4,6.6,100.9
5.9,8.1,106.3
6.8,6.6,96.4
5.1,4.6,98.9
3.7,6.3,102.7
5.7,1.6,94.6
5.1,5.1,113.4
2.7,2.6,100.7
5.3,5.3,111
8.3,4.3,112.1
6.1,7.5,107.7
3.3,5.4,112.2
6.3,7.8,114.4
3.4,6.8,101.5
5.2,3.8,114.3
6.1,3.3,120.8
5.1,5.7,119.1
2.5,2.8,103.6
4.1,6.8,107.4
3.1,5.6,96.7
4.5,7.1,108.4
3.8,5.7,103.1
6.8,9.3,100
5.8,7,109.2
4.5,4.5,111.2
8.8,1.6,92.9
7,5.6,89.8
5.3,6.2,112.7
4.4,6.5,113.4
6.5,7,113.2
8.7,6.9,114
7.1,7.7,119.3
6.5,4.5,110.7
8.5,6.4,114.3
10.1,7.2,117.9
5.6,1.7,112.1
7.2,6.1,112.4
7.5,6,125.2
7.8,8.3,111.3
8.7,6.8,115.3
6.5,4.9,104.7
11.4,7.5,103.2
9.6,5.1,105
10.4,6.1,112.5
5.8,5,116.3
7.9,4.4,111.4
8.2,4.2,114.9
10.2,7.9,112.4
8.1,5.3,114.7
10.9,7.6,108.8
7.3,4.7,123.8
10.6,6,112.9
8.9,4.2,109.3
7.9,7,111.1
7.4,5,116.9
6.3,5.6,108.4
8.1,9.8,121.6
9,6.6,119.9
8.4,9,104.9
10.6,8.1,120.6
7.4,9.1,109.5
10.4,8.1,120.5
7.4,10.8,119.9
8.9,10.1,104
9.5,3.7,119.8
6.6,6.3,121.1
8.3,8.8,111.6
7.3,9.5,120.8
7.8,8.8,107.3
8.7,4.9,121.8
9.4,7,114.8
11.2,7.8,111.4
9,9.2,109.3
9.9,8.1,108.6
10.4,11,105.2
7.3,7.7,110.9
10.2,10.1,115
7.7,9.5,118.6
6.6,5.2,118.6
9.1,4,119.9
8.5,6.6,100.1
